,UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M,Failure Type_Heat Dissipation Failure,Failure Type_No Failure,Failure Type_Overstrain Failure,Failure Type_Power Failure,Failure Type_Random Failures,Failure Type_Tool Wear Failure
1473,1474,298.5,309.5,1315,48.9,127,0,0,0,1,0,1,0,0,0,0
1474,1475,298.5,309.5,1366,61.9,130,0,0,0,1,0,1,0,0,0,0
1475,1476,298.4,309.5,1519,35.4,133,0,0,0,1,0,1,0,0,0,0
1476,1477,298.4,309.5,1692,28.3,136,0,0,1,0,0,1,0,0,0,0
1477,1478,298.3,309.4,1570,35.6,138,0,0,1,0,0,1,0,0,0,0
1478,1479,298.3,309.4,1568,35.8,140,0,0,1,0,0,1,0,0,0,0
1479,1480,298.2,309.3,1355,43.8,142,0,0,1,0,0,1,0,0,0,0
1480,1481,298.2,309.3,2056,18.7,144,0,0,0,1,0,1,0,0,0,0
1481,1482,298.2,309.2,1332,60.2,147,0,0,0,1,0,1,0,0,0,0
1482,1483,298.1,309.1,1448,52.5,150,0,0,0,1,0,1,0,0,0,0
1483,1484,298.0,308.9,1578,35.6,153,0,0,1,0,0,1,0,0,0,0
1484,1485,298.0,309.0,1562,39.2,155,0,0,0,1,0,1,0,0,0,0
1485,1486,298.1,309.0,1976,19.3,158,0,0,0,1,0,1,0,0,0,0
1486,1487,298.2,309.2,1524,34.6,161,0,0,0,1,0,1,0,0,0,0
1487,1488,298.2,309.1,1429,48.5,164,0,0,1,0,0,1,0,0,0,0
1488,1489,298.2,309.1,1568,36.3,166,0,0,1,0,0,1,0,0,0,0
1489,1490,298.2,309.0,1723,26.6,168,0,0,0,1,0,1,0,0,0,0
1490,1491,298.2,309.0,1341,43.8,171,0,0,1,0,0,1,0,0,0,0
1491,1492,298.1,308.9,1353,46.2,173,0,0,0,1,0,1,0,0,0,0
1492,1493,298.0,308.7,1479,58.5,176,1,0,0,1,0,0,0,1,0,0
1493,1494,298.0,308.8,1496,44.9,179,0,0,1,0,0,1,0,0,0,0
1494,1495,298.0,308.7,1377,48.5,181,0,0,0,1,0,1,0,0,0,0
1495,1496,297.9,308.5,1383,44.6,184,0,1,0,0,0,1,0,0,0,0
1496,1497,298.0,308.7,1268,69.4,189,1,0,1,0,0,0,0,1,0,0
1497,1498,298.0,308.7,1629,34.3,191,0,0,1,0,0,1,0,0,0,0
1498,1499,298.0,308.8,1790,27.2,193,0,0,1,0,0,1,0,0,0,0
1499,1500,298.1,308.8,2206,16.3,195,0,0,0,1,0,1,0,0,0,0
1500,1501,298.0,308.7,2101,17.4,198,0,0,0,1,0,1,0,0,0,0
1501,1502,298.0,308.7,1436,48.2,201,0,0,0,1,0,1,0,0,0,0
1502,1503,298.0,308.7,1462,48.2,204,0,0,1,0,0,1,0,0,0,0
1503,1504,298.0,308.7,1771,26.2,206,0,0,1,0,0,1,0,0,0,0
1504,1505,298.0,308.7,1506,47.0,208,0,0,1,0,0,1,0,0,0,0
1505,1506,298.0,308.7,1626,36.7,210,0,0,1,0,0,1,0,0,0,0
1506,1507,298.0,308.8,1610,33.7,212,0,0,1,0,0,1,0,0,0,0
1507,1508,298.0,308.6,1376,55.7,214,0,0,0,1,0,1,0,0,0,0
1508,1509,298.0,308.6,1507,37.3,217,0,0,0,1,0,1,0,0,0,0
1509,1510,298.0,308.5,1429,37.7,220,1,0,1,0,0,0,0,0,0,1
1510,1511,298.1,308.7,1547,38.9,0,0,0,0,1,0,1,0,0,0,0
1511,1512,298.1,308.7,1642,30.3,3,0,0,1,0,0,1,0,0,0,0
1512,1513,298.0,308.7,1503,36.3,5,0,1,0,0,0,1,0,0,0,0
1513,1514,298.1,308.7,1568,32.9,10,0,0,1,0,0,1,0,0,0,0
1514,1515,298.1,308.8,1628,37.6,12,0,0,0,1,0,1,0,0,0,0
1515,1516,298.2,308.9,1614,35.5,15,0,0,0,1,0,1,0,0,0,0
1516,1517,298.2,308.9,1278,54.0,18,0,0,1,0,0,1,0,0,0,0
1517,1518,298.2,308.9,1408,38.8,20,0,0,0,1,0,1,0,0,0,0
1518,1519,298.2,309.0,1371,55.7,23,0,1,0,0,0,1,0,0,0,0
1519,1520,298.2,308.9,1512,38.5,28,0,0,0,1,0,1,0,0,0,0
1520,1521,298.3,309.1,1472,40.1,31,0,0,1,0,0,1,0,0,0,0
1521,1522,298.2,308.9,1585,34.3,33,0,0,0,1,0,1,0,0,0,0
1522,1523,298.2,309.0,1562,37.7,36,0,1,0,0,0,1,0,0,0,0
1523,1524,298.3,309.0,1519,36.9,41,0,0,1,0,0,1,0,0,0,0
1524,1525,298.2,309.0,1601,35.8,43,0,0,1,0,0,1,0,0,0,0
1525,1526,298.2,309.0,2449,13.8,45,0,0,1,0,0,1,0,0,0,0
1526,1527,298.1,309.0,1787,27.6,47,0,0,1,0,0,1,0,0,0,0
1527,1528,298.1,309.1,1425,44.5,49,0,1,0,0,0,1,0,0,0,0
1528,1529,298.1,309.0,1559,34.0,54,0,0,1,0,0,1,0,0,0,0
1529,1530,298.1,309.0,1557,36.0,56,0,0,1,0,0,1,0,0,0,0
1530,1531,298.1,309.0,1497,40.5,58,0,0,1,0,0,1,0,0,0,0
1531,1532,298.1,309.0,1438,41.4,60,0,1,0,0,0,1,0,0,0,0
1532,1533,298.1,308.9,1417,39.2,65,0,0,0,1,0,1,0,0,0,0
1533,1534,298.0,308.9,1339,51.4,68,0,0,0,1,0,1,0,0,0,0
1534,1535,298.0,308.8,1757,29.1,71,0,0,1,0,0,1,0,0,0,0
1535,1536,298.0,308.8,1581,36.1,73,0,0,1,0,0,1,0,0,0,0
1536,1537,298.2,308.9,1326,54.4,75,0,0,0,1,0,1,0,0,0,0
1537,1538,298.4,309.1,1467,39.6,78,0,0,0,1,0,1,0,0,0,0
1538,1539,298.4,309.1,1798,29.6,81,0,0,1,0,0,1,0,0,0,0
1539,1540,298.5,309.2,1449,46.4,83,0,0,0,1,0,1,0,0,0,0
1540,1541,298.4,309.1,1525,39.3,86,0,0,0,1,0,1,0,0,0,0
1541,1542,298.4,309.0,2304,15.1,89,0,0,1,0,0,1,0,0,0,0
1542,1543,298.3,308.9,1379,54.7,91,0,0,1,0,0,1,0,0,0,0
1543,1544,298.4,308.9,1628,34.9,93,0,0,1,0,0,1,0,0,0,0
1544,1545,298.4,309.0,1474,52.7,95,0,0,1,0,0,1,0,0,0,0
1545,1546,298.4,309.0,1544,38.8,97,0,0,0,1,0,1,0,0,0,0
1546,1547,298.4,308.9,1391,48.4,100,0,0,1,0,0,1,0,0,0,0
1547,1548,298.3,308.9,1348,55.5,102,0,0,1,0,0,1,0,0,0,0
1548,1549,298.3,308.8,1349,52.1,104,0,0,0,1,0,1,0,0,0,0
1549,1550,298.4,308.9,1706,29.5,107,0,0,1,0,0,1,0,0,0,0
1550,1551,298.4,308.9,1638,32.4,109,0,0,1,0,0,1,0,0,0,0
1551,1552,298.4,308.8,1458,40.1,111,0,0,1,0,0,1,0,0,0,0
1552,1553,298.5,308.9,1781,27.8,113,0,0,1,0,0,1,0,0,0,0
1553,1554,298.5,308.8,1332,59.1,115,0,0,1,0,0,1,0,0,0,0
1554,1555,298.4,308.7,1584,31.7,117,0,0,0,1,0,1,0,0,0,0
1555,1556,298.4,308.6,1491,42.0,120,0,0,1,0,0,1,0,0,0,0
1556,1557,298.4,308.5,1398,47.1,122,0,1,0,0,0,1,0,0,0,0
1557,1558,298.3,308.4,1585,30.6,127,0,0,1,0,0,1,0,0,0,0
1558,1559,298.2,308.3,1476,43.5,129,0,0,0,1,0,1,0,0,0,0
1559,1560,298.2,308.3,1458,41.8,132,0,0,1,0,0,1,0,0,0,0
1560,1561,298.2,308.4,1510,39.9,134,0,0,0,1,0,1,0,0,0,0
1561,1562,298.2,308.4,1388,53.8,137,0,0,1,0,0,1,0,0,0,0
1562,1563,298.2,308.3,2216,16.8,139,0,0,1,0,0,1,0,0,0,0
1563,1564,298.2,308.3,1402,51.0,141,0,0,1,0,0,1,0,0,0,0
1564,1565,298.0,308.2,2090,19.0,143,0,0,0,1,0,1,0,0,0,0
1565,1566,298.0,308.2,1459,42.1,146,0,0,1,0,0,1,0,0,0,0
1566,1567,298.0,308.1,1403,44.8,148,0,0,0,1,0,1,0,0,0,0
1567,1568,298.1,308.2,1521,39.3,151,0,0,1,0,0,1,0,0,0,0
1568,1569,298.2,308.2,1407,47.1,153,0,0,1,0,0,1,0,0,0,0
1569,1570,298.1,308.2,1654,35.3,155,0,0,0,1,0,1,0,0,0,0
1570,1571,298.2,308.4,1452,43.5,158,0,0,1,0,0,1,0,0,0,0
1571,1572,298.3,308.4,1528,37.3,160,0,0,1,0,0,1,0,0,0,0
1572,1573,298.2,308.3,1230,59.6,162,0,0,1,0,0,1,0,0,0,0
1573,1574,298.2,308.2,1466,42.4,164,0,0,1,0,0,1,0,0,0,0
1574,1575,298.2,308.2,1478,50.1,166,0,0,1,0,0,1,0,0,0,0
1575,1576,298.2,308.3,2057,18.0,168,0,0,1,0,0,1,0,0,0,0
1576,1577,298.3,308.4,1490,41.7,170,0,0,1,0,0,1,0,0,0,0
1577,1578,298.3,308.4,1484,43.4,172,0,0,1,0,0,1,0,0,0,0
1578,1579,298.3,308.4,1593,37.0,174,0,0,1,0,0,1,0,0,0,0
1579,1580,298.3,308.3,1444,43.8,176,0,0,1,0,0,1,0,0,0,0
1580,1581,298.3,308.4,1444,47.5,178,0,0,0,1,0,1,0,0,0,0
1581,1582,298.2,308.3,1560,33.0,181,0,0,0,1,0,1,0,0,0,0
1582,1583,298.1,308.3,1530,42.0,184,0,1,0,0,0,1,0,0,0,0
1583,1584,298.2,308.4,1310,61.0,189,1,0,1,0,0,0,1,0,0,0
1584,1585,298.2,308.3,1639,33.3,191,0,0,0,1,0,1,0,0,0,0
1585,1586,298.2,308.3,1400,48.7,194,0,0,1,0,0,1,0,0,0,0
1586,1587,298.3,308.4,1486,44.2,196,0,0,0,1,0,1,0,0,0,0
1587,1588,298.2,308.3,1448,43.3,199,0,0,0,1,0,1,0,0,0,0
1588,1589,298.2,308.3,1688,32.0,202,0,0,1,0,0,1,0,0,0,0
1589,1590,298.1,308.3,1453,41.5,204,0,0,0,1,0,1,0,0,0,0
1590,1591,298.2,308.4,1497,37.7,207,0,0,1,0,0,1,0,0,0,0
1591,1592,298.2,308.4,1355,49.4,209,0,0,1,0,0,1,0,0,0,0
1592,1593,298.1,308.4,1592,38.2,211,0,0,1,0,0,1,0,0,0,0
1593,1594,298.0,308.3,1544,34.7,213,0,0,1,0,0,1,0,0,0,0
1594,1595,298.0,308.2,1373,51.2,215,0,0,0,1,0,1,0,0,0,0
1595,1596,298.0,308.2,1365,52.9,218,1,0,1,0,0,0,1,0,0,0
1596,1597,298.0,308.1,1877,24.3,0,0,0,1,0,0,1,0,0,0,0
1597,1598,297.9,308.1,1531,40.8,2,0,0,1,0,0,1,0,0,0,0
1598,1599,297.9,308.0,1501,36.7,4,0,0,1,0,0,1,0,0,0,0
1599,1600,297.9,308.0,1490,46.2,6,0,0,1,0,0,1,0,0,0,0
1600,1601,297.8,307.8,1543,43.7,8,0,0,0,1,0,1,0,0,0,0
1601,1602,297.8,307.8,1597,38.2,11,0,0,1,0,0,1,0,0,0,0
1602,1603,297.8,307.9,1600,33.5,13,0,1,0,0,0,1,0,0,0,0
1603,1604,297.8,307.8,1622,32.1,18,0,0,0,1,0,1,0,0,0,0
1604,1605,297.8,307.8,1452,39.8,21,0,0,1,0,0,1,0,0,0,0
1605,1606,297.8,307.8,1396,42.5,23,0,0,1,0,0,1,0,0,0,0
1606,1607,297.8,307.7,1505,39.7,25,0,0,1,0,0,1,0,0,0,0
1607,1608,297.8,307.8,1412,48.3,27,0,0,1,0,0,1,0,0,0,0
1608,1609,297.8,307.7,1393,38.0,29,0,0,1,0,0,1,0,0,0,0
1609,1610,297.7,307.7,1581,34.9,31,0,0,1,0,0,1,0,0,0,0
1610,1611,297.8,307.8,1573,37.9,33,0,0,1,0,0,1,0,0,0,0
1611,1612,297.8,307.9,1726,27.3,35,0,0,0,1,0,1,0,0,0,0
1612,1613,297.9,307.9,1540,39.8,38,0,0,0,1,0,1,0,0,0,0
1613,1614,297.9,308.0,1296,62.9,41,0,0,1,0,0,1,0,0,0,0
1614,1615,297.8,307.9,1802,25.8,43,0,0,0,1,0,1,0,0,0,0
1615,1616,297.8,307.9,1447,48.6,46,0,0,1,0,0,1,0,0,0,0
1616,1617,297.8,307.8,1662,30.7,48,0,1,0,0,0,1,0,0,0,0
1617,1618,297.8,307.8,1563,34.3,53,0,0,1,0,0,1,0,0,0,0
1618,1619,297.9,307.8,1286,59.5,55,0,0,1,0,0,1,0,0,0,0
1619,1620,297.9,307.7,1590,34.6,57,0,0,1,0,0,1,0,0,0,0
1620,1621,297.9,307.7,1492,43.7,59,0,0,1,0,0,1,0,0,0,0
1621,1622,297.7,307.6,1844,21.9,61,0,0,1,0,0,1,0,0,0,0
1622,1623,297.7,307.6,1538,38.3,63,0,1,0,0,0,1,0,0,0,0
1623,1624,297.7,307.6,1921,22.9,68,0,0,1,0,0,1,0,0,0,0
1624,1625,297.8,307.8,1310,57.9,70,0,0,0,1,0,1,0,0,0,0
1625,1626,297.9,307.8,1365,46.9,73,0,0,1,0,0,1,0,0,0,0
1626,1627,297.9,307.8,1303,59.3,75,0,0,0,1,0,1,0,0,0,0
1627,1628,297.9,307.8,1499,37.5,78,0,0,1,0,0,1,0,0,0,0
1628,1629,297.9,307.8,1451,38.2,80,0,0,1,0,0,1,0,0,0,0
1629,1630,297.9,307.9,1336,54.4,82,0,0,0,1,0,1,0,0,0,0
1630,1631,297.9,307.9,1412,44.5,85,0,0,1,0,0,1,0,0,0,0
1631,1632,298.0,308.0,1433,39.2,87,0,0,1,0,0,1,0,0,0,0
1632,1633,297.9,307.9,1426,43.6,89,0,0,1,0,0,1,0,0,0,0
1633,1634,297.9,307.9,1476,45.2,91,0,0,1,0,0,1,0,0,0,0
1634,1635,297.9,307.9,1406,58.5,93,0,1,0,0,0,1,0,0,0,0
1635,1636,297.8,307.8,1383,56.5,98,0,0,1,0,0,1,0,0,0,0
1636,1637,297.9,307.8,1505,37.3,100,0,0,1,0,0,1,0,0,0,0
1637,1638,297.9,307.8,1665,33.9,102,0,0,1,0,0,1,0,0,0,0
1638,1639,297.9,307.8,1397,45.0,104,0,0,1,0,0,1,0,0,0,0
1639,1640,297.9,307.8,1450,43.5,106,0,0,0,1,0,1,0,0,0,0
1640,1641,298.0,307.8,1567,36.4,109,0,0,1,0,0,1,0,0,0,0
1641,1642,298.0,308.0,1555,37.0,111,0,0,0,1,0,1,0,0,0,0
1642,1643,298.0,307.8,1588,35.4,114,0,1,0,0,0,1,0,0,0,0
1643,1644,298.0,307.8,1453,37.7,119,0,0,1,0,0,1,0,0,0,0
1644,1645,298.0,307.8,1622,33.3,121,0,0,1,0,0,1,0,0,0,0
1645,1646,297.9,307.8,1538,38.5,123,0,0,1,0,0,1,0,0,0,0
1646,1647,297.9,307.7,1527,42.8,125,0,0,0,1,0,1,0,0,0,0
1647,1648,297.8,307.8,1761,28.9,128,0,0,1,0,0,1,0,0,0,0
1648,1649,297.9,307.8,1373,50.2,130,0,0,1,0,0,1,0,0,0,0
1649,1650,298.0,307.9,1482,37.8,132,0,1,0,0,0,1,0,0,0,0
1650,1651,298.0,307.9,1417,51.0,137,0,0,0,1,0,1,0,0,0,0
1651,1652,298.0,307.8,1414,51.7,140,0,0,1,0,0,1,0,0,0,0
1652,1653,297.9,307.8,1635,34.0,142,0,1,0,0,0,1,0,0,0,0
1653,1654,298.0,307.8,1386,57.3,147,0,0,1,0,0,1,0,0,0,0
1654,1655,298.2,308.1,1379,62.3,149,0,0,1,0,0,1,0,0,0,0
1655,1656,298.2,308.0,1577,35.9,151,0,0,0,1,0,1,0,0,0,0
1656,1657,298.2,308.1,1532,42.5,154,0,0,1,0,0,1,0,0,0,0
1657,1658,298.1,308.0,1374,48.8,156,0,0,0,1,0,1,0,0,0,0
1658,1659,298.1,308.0,1570,35.3,159,0,1,0,0,0,1,0,0,0,0
1659,1660,298.1,308.0,1697,31.0,164,0,0,1,0,0,1,0,0,0,0
1660,1661,298.2,308.0,1499,44.1,166,0,0,1,0,0,1,0,0,0,0
1661,1662,298.2,308.0,1411,47.2,168,0,0,0,1,0,1,0,0,0,0
1662,1663,298.2,307.9,1462,45.5,171,0,1,0,0,0,1,0,0,0,0
1663,1664,298.1,307.9,1759,28.6,176,0,0,0,1,0,1,0,0,0,0
1664,1665,298.2,308.0,1535,38.0,179,0,0,1,0,0,1,0,0,0,0
1665,1666,298.2,307.9,1491,39.7,181,0,1,0,0,0,1,0,0,0,0
1666,1667,298.2,307.9,1551,36.0,186,0,0,1,0,0,1,0,0,0,0
1667,1668,298.2,307.9,1769,27.2,188,0,0,1,0,0,1,0,0,0,0
1668,1669,298.2,307.9,1551,34.1,190,0,0,1,0,0,1,0,0,0,0
1669,1670,298.2,307.9,1544,31.4,192,0,0,1,0,0,1,0,0,0,0
1670,1671,298.2,307.8,1528,31.1,194,0,0,1,0,0,1,0,0,0,0
1671,1672,298.1,307.9,1614,35.8,196,0,0,1,0,0,1,0,0,0,0
1672,1673,298.1,307.8,1432,49.8,198,0,0,1,0,0,1,0,0,0,0
1673,1674,298.1,307.8,1384,43.7,200,0,0,0,1,0,1,0,0,0,0
1674,1675,298.1,307.8,1540,37.8,203,0,0,1,0,0,1,0,0,0,0
1675,1676,298.0,307.7,1407,43.9,205,0,0,1,0,0,1,0,0,0,0
1676,1677,297.9,307.6,1418,43.0,207,0,1,0,0,0,1,0,0,0,0
1677,1678,297.9,307.5,1647,30.8,212,0,0,0,1,0,1,0,0,0,0
1678,1679,298.0,307.5,1644,32.8,215,0,0,1,0,0,1,0,0,0,0
1679,1680,298.0,307.5,1792,27.9,217,0,0,1,0,0,1,0,0,0,0
1680,1681,297.9,307.4,1610,34.6,219,0,0,0,1,0,1,0,0,0,0
1681,1682,297.8,307.3,1804,26.0,222,0,0,0,1,0,1,0,0,0,0
1682,1683,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,0,0,0,1
1683,1684,297.9,307.4,1403,52.8,0,0,0,0,1,0,1,0,0,0,0
1684,1685,297.8,307.3,1438,44.5,3,0,0,1,0,0,1,0,0,0,0
1685,1686,297.9,307.3,1824,26.3,5,0,0,1,0,0,1,0,0,0,0
1686,1687,297.9,307.3,1663,28.7,7,0,1,0,0,0,1,0,0,0,0
1687,1688,297.9,307.3,1502,36.7,12,0,0,1,0,0,1,0,0,0,0
1688,1689,297.9,307.4,1606,35.5,14,0,0,1,0,0,1,0,0,0,0
1689,1690,297.9,307.5,1561,37.7,16,0,0,1,0,0,1,0,0,0,0
1690,1691,297.9,307.4,1435,42.9,18,0,0,0,1,0,1,0,0,0,0
1691,1692,297.9,307.5,1602,38.3,21,0,0,1,0,0,1,0,0,0,0
1692,1693,298.1,307.6,1764,27.7,23,0,0,0,1,0,1,0,0,0,0
1693,1694,298.0,307.5,1683,27.8,26,0,1,0,0,0,1,0,0,0,0
1694,1695,298.0,307.5,1618,35.2,31,0,0,1,0,0,1,0,0,0,0
1695,1696,298.0,307.6,1509,41.6,33,0,0,1,0,0,1,0,0,0,0
1696,1697,297.9,307.6,1550,39.0,35,0,0,1,0,0,1,0,0,0,0
1697,1698,297.9,307.6,1519,44.0,37,0,0,0,1,0,1,0,0,0,0
1698,1699,297.9,307.6,1481,38.0,40,0,0,1,0,0,1,0,0,0,0
1699,1700,298.1,307.7,1289,48.3,42,0,0,1,0,0,1,0,0,0,0
1700,1701,298.0,307.6,1844,23.8,44,0,0,0,1,0,1,0,0,0,0
1701,1702,298.0,307.7,1479,42.5,47,0,0,1,0,0,1,0,0,0,0
1702,1703,298.0,307.7,1430,47.3,49,0,0,1,0,0,1,0,0,0,0
1703,1704,298.1,307.8,1636,36.7,51,0,0,0,1,0,1,0,0,0,0
1704,1705,298.1,307.8,1503,44.7,54,0,0,0,1,0,1,0,0,0,0
1705,1706,298.1,307.8,1608,32.6,57,0,0,0,1,0,1,0,0,0,0
1706,1707,298.2,307.8,1521,42.9,60,0,0,1,0,0,1,0,0,0,0
1707,1708,298.2,307.8,1439,41.6,62,0,0,1,0,0,1,0,0,0,0
1708,1709,298.2,307.8,1627,31.5,64,0,0,1,0,0,1,0,0,0,0
1709,1710,298.2,307.8,1749,26.1,66,0,0,1,0,0,1,0,0,0,0
1710,1711,298.2,307.8,1530,35.9,68,0,0,1,0,0,1,0,0,0,0
1711,1712,298.2,307.8,1355,51.3,70,0,0,1,0,0,1,0,0,0,0
1712,1713,298.3,307.9,1551,33.8,72,0,0,1,0,0,1,0,0,0,0
1713,1714,298.2,307.8,1515,46.7,74,0,0,1,0,0,1,0,0,0,0
1714,1715,298.2,307.8,1388,48.6,76,0,0,1,0,0,1,0,0,0,0
1715,1716,298.2,307.8,1585,34.6,78,0,0,1,0,0,1,0,0,0,0
1716,1717,298.1,307.7,1523,37.7,80,0,0,1,0,0,1,0,0,0,0
1717,1718,298.2,307.6,1369,54.5,82,0,0,1,0,0,1,0,0,0,0
1718,1719,298.2,307.7,1681,31.0,84,0,0,0,1,0,1,0,0,0,0
1719,1720,298.2,307.7,1503,38.3,87,0,0,1,0,0,1,0,0,0,0
1720,1721,298.2,307.7,1459,44.5,89,0,0,1,0,0,1,0,0,0,0
1721,1722,298.2,307.7,1688,32.4,91,0,0,1,0,0,1,0,0,0,0
1722,1723,298.2,307.7,1952,21.6,93,0,0,0,1,0,1,0,0,0,0
1723,1724,298.2,307.8,2029,19.9,96,0,0,1,0,0,1,0,0,0,0
1724,1725,298.3,307.8,1457,52.5,98,0,0,0,1,0,1,0,0,0,0
1725,1726,298.3,307.8,1392,50.4,101,0,0,0,1,0,1,0,0,0,0
1726,1727,298.3,307.8,1906,22.1,104,0,0,1,0,0,1,0,0,0,0
1727,1728,298.3,307.7,1602,33.4,106,0,0,0,1,0,1,0,0,0,0
1728,1729,298.3,307.7,1465,49.4,109,0,0,1,0,0,1,0,0,0,0
1729,1730,298.3,307.7,1439,43.8,111,0,0,0,1,0,1,0,0,0,0
1730,1731,298.3,307.8,1330,55.4,114,0,0,0,1,0,1,0,0,0,0
1731,1732,298.3,307.9,1485,42.0,117,0,0,0,1,0,1,0,0,0,0
1732,1733,298.4,307.9,1700,28.2,120,0,1,0,0,0,1,0,0,0,0
1733,1734,298.4,308.0,1515,42.8,125,0,0,1,0,0,1,0,0,0,0
1734,1735,298.5,308.1,1501,39.2,127,0,0,0,1,0,1,0,0,0,0
1735,1736,298.4,308.0,1380,47.6,130,0,0,1,0,0,1,0,0,0,0
1736,1737,298.4,307.9,1544,35.9,132,0,0,1,0,0,1,0,0,0,0
1737,1738,298.4,307.9,1743,27.3,134,0,0,1,0,0,1,0,0,0,0
1738,1739,298.4,307.9,1948,21.4,136,0,1,0,0,0,1,0,0,0,0
1739,1740,298.5,307.9,1260,54.2,141,0,1,0,0,0,1,0,0,0,0
1740,1741,298.5,307.9,1640,33.1,146,0,0,0,1,0,1,0,0,0,0
1741,1742,298.5,308.0,1363,49.2,149,0,0,0,1,0,1,0,0,0,0
1742,1743,298.5,308.0,1379,49.6,152,0,0,1,0,0,1,0,0,0,0
1743,1744,298.5,308.0,1713,25.8,154,0,0,0,1,0,1,0,0,0,0
1744,1745,298.5,308.0,1461,51.9,157,0,0,0,1,0,1,0,0,0,0
1745,1746,298.5,308.0,1624,29.8,160,0,0,1,0,0,1,0,0,0,0
1746,1747,298.4,308.0,1526,41.1,162,0,0,1,0,0,1,0,0,0,0
1747,1748,298.4,307.9,2381,14.2,164,0,0,1,0,0,1,0,0,0,0
1748,1749,298.4,307.7,1626,31.1,166,0,1,0,0,0,0,0,0,1,0
1749,1750,298.3,307.7,1576,33.8,171,0,0,1,0,0,1,0,0,0,0
1750,1751,298.4,307.8,1617,31.6,173,0,0,0,1,0,1,0,0,0,0
1751,1752,298.3,307.6,1942,20.6,176,0,0,1,0,0,1,0,0,0,0
1752,1753,298.2,307.6,1492,37.2,178,0,0,1,0,0,1,0,0,0,0
1753,1754,298.2,307.5,1470,51.3,180,0,0,1,0,0,1,0,0,0,0
1754,1755,298.0,307.4,1463,46.5,182,0,0,0,1,0,1,0,0,0,0
1755,1756,298.0,307.3,1424,46.5,185,0,0,1,0,0,1,0,0,0,0
1756,1757,298.1,307.4,1363,60.1,187,0,0,0,1,0,1,0,0,0,0
1757,1758,298.1,307.4,1335,56.2,190,0,0,0,1,0,1,0,0,0,0
1758,1759,298.1,307.4,1608,33.9,193,0,0,1,0,0,1,0,0,0,0
1759,1760,298.0,307.4,1606,35.2,195,0,1,0,0,0,1,0,0,0,0
1760,1761,298.1,307.5,1684,33.1,200,0,0,1,0,0,1,0,0,0,0
1761,1762,298.1,307.6,1950,20.3,202,0,0,1,0,0,1,0,0,0,0
1762,1763,298.2,307.6,1460,48.6,204,0,1,0,0,0,1,0,0,0,0
1763,1764,298.2,307.6,1511,31.0,209,1,0,1,0,0,0,0,0,0,1
1764,1765,298.2,307.6,1318,55.7,0,0,1,0,0,0,1,0,0,0,0
1765,1766,298.2,307.6,1368,51.8,5,0,0,1,0,0,1,0,0,0,0
1766,1767,298.3,307.7,1717,27.1,7,0,0,0,1,0,1,0,0,0,0
1767,1768,298.3,307.7,1520,41.4,10,0,0,0,1,0,1,0,0,0,0
1768,1769,298.3,307.8,1485,42.0,13,0,0,0,1,0,1,0,0,0,0
1769,1770,298.4,307.9,1981,23.2,16,0,0,1,0,0,1,0,0,0,0
1770,1771,298.4,307.9,1605,31.0,18,0,1,0,0,0,1,0,0,0,0
1771,1772,298.4,307.9,1446,45.3,23,0,0,1,0,0,1,0,0,0,0
1772,1773,298.4,308.0,1508,47.9,25,0,0,1,0,0,1,0,0,0,0
1773,1774,298.5,308.0,1384,59.5,27,0,0,1,0,0,1,0,0,0,0
1774,1775,298.5,308.0,1519,37.3,29,0,0,0,1,0,1,0,0,0,0
1775,1776,298.5,308.0,1404,48.1,32,0,0,1,0,0,1,0,0,0,0
1776,1777,298.5,308.1,1564,31.1,34,0,0,1,0,0,1,0,0,0,0
1777,1778,298.6,308.2,1555,36.8,36,0,1,0,0,0,1,0,0,0,0
1778,1779,298.6,308.2,1325,54.0,41,0,0,1,0,0,1,0,0,0,0
1779,1780,298.6,308.2,1488,44.0,43,0,0,0,1,0,1,0,0,0,0
1780,1781,298.5,308.2,1595,32.3,46,0,0,1,0,0,1,0,0,0,0
1781,1782,298.5,308.1,1662,28.6,48,0,0,1,0,0,1,0,0,0,0
1782,1783,298.4,308.0,1571,37.4,50,0,0,1,0,0,1,0,0,0,0
1783,1784,298.3,308.0,1553,41.0,52,0,1,0,0,0,1,0,0,0,0
1784,1785,298.3,308.0,2886,3.8,57,1,0,1,0,0,0,0,1,0,0
1785,1786,298.2,308.0,1538,38.2,59,0,0,1,0,0,1,0,0,0,0
1786,1787,298.4,308.2,1618,33.0,61,0,0,1,0,0,1,0,0,0,0
1787,1788,298.4,308.2,1364,45.9,63,0,0,1,0,0,1,0,0,0,0
1788,1789,298.3,308.0,1442,47.3,65,0,0,1,0,0,1,0,0,0,0
1789,1790,298.2,307.9,1313,67.3,67,1,0,1,0,0,0,0,1,0,0
1790,1791,298.2,307.9,1847,23.6,69,0,0,1,0,0,1,0,0,0,0
1791,1792,298.1,307.8,1524,40.8,71,0,0,1,0,0,1,0,0,0,0
1792,1793,298.1,307.7,1445,48.0,73,0,0,0,1,0,1,0,0,0,0
1793,1794,298.1,307.8,1761,28.2,76,0,0,1,0,0,1,0,0,0,0
1794,1795,298.1,307.8,1514,43.5,78,0,0,0,1,0,1,0,0,0,0
